compound	cas_no	mw	m	sigma_A	epsilon_k_K	kAiBi	epsilon_AiBi_k_K
carbon dioxide	124-38-9	44.01	2.0729	2.7852	169.21		
carbon disulfide	75-15-0	76.143	1.6919	3.6172	334.82		
carbon monoxide	630-08-0	28.01	1.3097	3.2507	92.15		
chlorine	7782-50-5	70.905	1.5514	3.3672	265.67		
chlorobenzene	108-90-7	112.558	2.6485	3.7533	315.04		
chloroethane	75-00-3	64.514	2.2638	3.416	245.43		
cyclohexane	110-82-7	84.147	2.5303	3.8499	278.11		
cyclopentane	287-92-3	70.13	2.3655	3.7114	265.83		
cyclopentene	142-29-0	68.114	2.2934	3.6668	267.76		
N-decane	124-18-5	142.285	4.6627	3.8384	243.87		
diethyl ether	60-29-7	74.123	2.9686	3.5147	220.09		
dimethyl ether	115-10-6	46.069	2.3071	3.2528	211.06		
N-dodecane	112-40-3	170.338	5.306	3.8959	249.21		
N-eicosane	112-95-8	282.553	7.9849	3.9869	257.75		
ethane	74-84-0	30.07	1.6069	3.5206	191.42		
ethanol	64-17-5	46.069	2.3827	3.1771	198.24	0.032384	2653.4
ethylamine	75-04-7	45.09	2.7046	3.1343	221.53	0.017275	854.7
ethylbenzene	100-41-4	106.167	3.0799	3.7974	287.35		
ethylcyclohexane	1678-91-7	112.215	2.8256	4.1039	294.04		
ethylcyclopentane	1640-89-7	98.182	2.9062	3.8873	270.5		
ethylene	74-85-1	28.05	1.593	3.445	176.47		
ethylethanoate	141-78-6	88.106	3.5375	3.3079	230.8		
ethylmethanoate	109-94-4	74.079	2.8876	3.3109	246.47		
ethylpropanoate	105-37-3	102.133	3.8371	3.4031	232.78		
heptadecane	629-78-7	240.473	6.9809	3.9675	255.65		
N-heptane	142-82-5	100.203	3.4831	3.8049	238.4		
hexadecane	544-76-3	226.446	6.6485	3.9552	254.7		
N-hexane	110-54-3	86.177	3.0576	3.7983	236.77		
isobutane	75-28-5	58.123	2.2616	3.7574	216.53		
isopentane	78-78-4	72.15	2.562	3.8296	230.75		
isopropylethanoate	108-21-4	102.133	3.6084	3.4818	231.91		
methane	74-82-8	16.043	1	3.7039	150.03		
methanol	67-56-1	32.042	1.5255	3.23	188.9	0.035176	2899.5
methylamine	74-89-5	31.06	2.3967	2.8906	214.94	0.095103	684.3
methyl butanoate	623-42-7	102.133	3.6758	3.4437	240.62		
methyl chloride	74-87-3	50.488	1.9297	3.2293	240.56		
methylcyclohexane	108-87-2	98.182	2.6637	3.9993	282.33		
methylcyclopentane	96-37-7	84.156	2.613	3.8253	265.12		
methyl methanoate	107-31-3	60.053	2.6784	3.0875	242.63		
methyl-n-propylether	107-31-3	74.123	3.0087	3.4569	222.73		
methyl propanoate	554-12-1	88.106	3.4793	3.3142	234.96		
m-xylene	108-38-3	106.167	3.1861	3.7563	283.98		
n-butylbenzene	104-51-8	134.221	3.7662	3.8727	283.07		
n-butylethanoate	123-86-4	116.16	3.9808	3.5427	242.52		
neopentane	463-82-1	72.15	2.3543	3.955	225.69		
nitrogen	7727-37-9	28.01	1.2053	3.313	90.96		
nonadecane	629-92-5	268.527	7.7175	3.9721	256		
N-nonane	111-84-2	128.25	4.2079	3.8448	244.51		
n-propylbenzene	103-65-1	120.194	3.3438	3.8438	288.13		
n-propylethanoate	109-60-4	102.133	3.7861	3.4227	235.76		
octadecane	593-45-3	254.5	7.3271	3.9668	256.2		
N-octane	111-65-9	114.231	3.8176	3.8373	242.78		
o-xylene	95-47-6	106.167	3.1362	3.76	291.05		
pentadecane	629-62-9	212.419	6.2855	3.9531	254.14		
N-pentane	109-66-0	72.146	2.6896	3.7729	231.2		
propane	74-98-6	44.096	2.002	3.6184	208.11		
propylene	115-07-1	42.081	1.9597	3.5356	207.19		
p-xylene	106-42-3	106.167	3.1723	3.7781	283.77		
sulfur dioxide	05/09/7446	64.065	2.8611	2.6826	205.35		
tetradecane	629-59-4	198.392	5.9002	3.9396	254.21		
tetralin	119-64-2	132.205	3.3131	3.875	325.07		
toluene	108-88-3	92.141	2.8149	3.7169	285.69		
N-tridecane	629-50-5	184.365	5.6877	3.9143	249.78		
N-undecane	1120-21-4	156.312	4.9082	3.8893	248.82		
water	7732-18-5	18.015	1.0656	3.0007	366.51	0.034868	2500.7
Polyethylene HDPE	9002-88-4	0	0	4.0217	252.0			0.0263
Polyethylene LDPE	9002-88-4-L	0	0	4.0217	249.5			0.0263
Polypropylene	9003-07-0	0	0	4.1	217.0			0.02305
Polybutene	9003-28-5	0	0	4.2	230.0			0.014
Polyisobutene	9003-27-4	0	0	4.1	265.5			0.02350
Polystyrene	9003-53-6	0	0	4.1071	267.0			0.0190
Poly(vinyl acetate)	9003-20-7	0	0	3.3972	204.65			0.03211
Polydimethylsiloxane	63148-62-9	0	0	3.531	204.9			0.0324
Poly(n-butyl methacrylate)	9003-63-8	0	0	3.884	264.7			0.0241
Polybutadiene	9003-17-2	0	0	4.097	288.84			0.0245
Poly(alpha-methylstyrene)	25014-31-7	0	0	4.204	354.05			0.0204
Poly(methyl methacrylate)	9011-14-7	0	0	3.553	264.60			0.027
2,2,3-trimethylpentane	564-02-3	114.23	3.0954	4.067	260.59		
2,3-dimethylpentane	565-59-3	100.2	3.0643	3.9278	249.83		
2,3-dimethylhexane	584-94-1	114.23	3.4634	3.9298	249.02		
3,4-dimethylhexane	583-48-2	114.23	3.40258	3.9431	253.13		
2,3,4-trimethylpentane	565-75-3	114.23	3.2154	4.0164	257.82		
2,2,3-trimethylbutane	464-06-2	100.2	2.7373	4.0914	258.65		
2,3,3-trimethylpentane	560-21-4	114.23	3.01703	4.1001	268.00		
2,2,4,4-tetramethylpentane	1070-87-7	128.26	3.17458	4.2086	262.92		
3-ethylpentane	617-78-7	100.2	3.13961	3.9068	249.17		
2,2-dimethylhexane	590-73-8	114.23	3.44763	3.9603	243.00		
2,2,4-trimethylpentane	540-84-1	114.23	3.14126	4.0862	249.77		
2,2,5-trimethylhexane	3522-94-9	128.26	3.762	3.9841	241.10		
2,2-dimethylheptane	1071-26-7	128.26	3.8706	3.9496	243.30		
2,2-dimethyloctane	15869-87-1	142.28	4.0461	4.0217	251.01		
1,1-dimethylcyclohexane	590-66-9	112.21	2.7196	4.1593	290.06		
Butylcyclohexane	1678-93-9	140.27	3.6023	4.0637	285.97		
Butylcyclopentane	2040-95-1	126.24	3.6442	3.9149	269.66		
Cyclobutane	287-23-0	56.11	2.0988	3.6189	254.45		
Cycloheptane	291-64-5	98.19	2.6975	3.9336	296.09		
Cyclooctane	292-64-8	112.21	2.8856	4.0117	307.03		
CycloPropane	75-19-4	42.02	1.8258	3.5084	234.45		
Cis-decahydronaphthalene	493-01-6	138.25	2.985	4.1803	331.18		
Decylcyclohexane	1795-16-0	224.43	6.0329	4.0083	272.23		
Isopropylcyclopentane	3875-51-2	112.21	3.032	4.0022	278.15		
Propylcyclohexane	1678-92-8	126.24	3.2779	4.0499	285.91		
Propylcyclopentane	2040-96-2	112.21	3.2639	3.9042	270.48		
Trans-decahydronaphthalene	493-02-7	138.25	2.9477	4.2365	325.91		
1,1-dimethylcyclopentane	1638-26-2	98.19	2.7863	3.946	264.12		
Propadiene	463-49-0	40.06	1.5506	3.7082	257.73		
1,2-butadiene	590-19-2	54.09	2.2979	3.5395	239.01		
1,3-butadiene	106-99-0	54.09	2.2309	3.5892	228.60		
3-methyl-1-butene	563-45-1	70.13	2.4541	3.8146	231.15		
Cycloheptene	628-92-2	96.17	2.9438	3.7689	279.23		
Cyclohexene	110-83-8	82.14	2.4475	3.8085	287.44		
Ethyne	74-86-2	26.04	2.487	2.7578	156.17		
Tert-butylbenzene	98-06-6	134.22	3.4461	3.9669	287.79		
1-Butylnaphthalene	1634-09-9	184.28	4.695	3.8582	311.66		
1-Ethylnaphthalene	1127-76-0	156.22	3.7865	3.8809	333.55		
1-methylnaphthalene	90-12-0	142.2	3.5975	3.81733	335.57		
1-phenylnaphthalene	605-02-7	204.27	4.917	3.8225	331.06		
1-Propylnaphthalene	2765-18-6	170.25	3.8084	4.0307	338.48		
2-methylnaphthalene	91-57-6	142.2	3.3234	3.9533	347.55		
Acenaphthene	83-32-9	154.21	3.6387	3.856	355.5		
Anthracene	120-12-7	178.23	3.3811	4.1423	411.47		
Indane	496-11-7	118.18	3.1093	3.8233	316.99		
Indene	95-13-6	116.16	2.8969	3.88	334.88		
Naphthalene	91-20-3	128.17	3.0047	3.9133	353.63		
Pyrene	129-00-0	202.25	3.7597	4.1574	421.04		
Oxygen	7782-44-7	32	1.1217	3.2098	114.96		
1,2-dichloroethane	107-06-2	98.96	2.5964	3.4463	285.01		
O-dichlorobenzene	95-50-1	147.01	2.8409	3.847	338.4		
Diphenyl ether	101-84-8	170.21	3.5961	4.0205	340.4		
Methyl n-propyl ether	557-17-5	74.123	3.1934	3.3897	215.43		
Nitroethane	79-24-3	75.07	2.9556	3.2322	290.55		
Nitromethane	75-52-5	61.04	2.5325	3.1174	314.19		
1-nitropropane	108-03-2	89.09	3.1377	3.4066	289.01		
2-nitropropane	79-46-9	89.09	3.1019	3.4243	281.65		
M-nitrotoluene	99-08-1	137.14	3.5459	3.6719	331.95		
O-nitrotoluene	88-72-2	137.14	3.9917	3.5014	306.03		
Nitrobenzene	98-95-3	123.11	3.1442	3.6415	344.88		
Acetonitrile	75-05-8	41.05	1.9693	3.3648	344.9		
Isobutyl acetate	110-19-0	116.16	4.2012	3.4519	229.69		
Vinyl acetate	108-05-4	86.09	3.4674	3.2482	231.45		
Benzaldehyde	100-52-7	106.12	3.1474	3.576	321.19		
Methyl isobutyl ketone	108-10-1	100.16	3.3628	3.6799	259.89		
2-methylpropanal	78-84-2	72.11	3.5582	3.2003	222.71		
Cyclopentanone	120-92-3	84.12	2.80919	3.5344	307.24		
Acetic anhydride	108-24-7	102.09	4.2175	3.1329	250.93		
Diethyl disulfide	110-81-6	122.25	3.1372	3.7905	297.77		
Diethyl sulfide	352-93-2	90.19	2.9078	3.6599	266.25		
Dimethyl disulfide	624-92-0	94.2	2.643	3.5836	300.67		
Dimethyl sulfide	75-18-3	62.14	2.1985	3.4975	273.25		
Hydrogen sulfide	7783-06-4	34.08	1.6941	3.0214	226.79		
Methyl ethyl sulfide	624-89-5	76.16	2.5289	3.6109	271.4		
Methyl n-propyl sulfide	3877-15-4	90.19	2.9283	3.6524	267.83		
Methyl t-butyl sulfide	6163-64-0	104.21	2.8002	3.909	273.18		
Methyl t-pentyl sulfide	13286-92-5	118.24	2.965	4.0306	299.81		
Methyl oleate	112-62-9	296.49	9.6659	3.6507	240.45		
Methylacetylene	74-99-7	40.06	2.4826	3.1024	205.18		
Fluoranthene	206-44-0	202.25	3.7597	4.1574	421.04		
Di-n-butyl ether	142-96-1	130.23	4.62	3.6404	228.48		
1,4-dioxane	123-91-1	88.11	2.9724	3.3762	275.88		
N-hexyl acetate	142-92-7	144.21	4.8447	3.5834	241.42		
N-pentyl acetate	628-63-7	130.18	4.7077	3.4729	234.57		
Di-n-propyl disulfide	629-19-6	150.31	3.9145	3.8224	285.78		
Di-n-propyl sulfide	111-47-7	118.24	3.5494	3.7766	267.42		
Poly(methyl acrylate)	9003-21-8	0	0	3.511	268.3			0.0292
Poly(ethylene glycol)	25322-68-3	0	0	4.089	322.2	0.0235	2080.03	0.0192	4C/ETHER
